ID_PESQUISA;ID_QUESTIONARIO;ID_PERGUNTA;SIGLA_LOTACAO;RESPOSTA;SITUACAO
46962;644;1982;GAB/ASS;Concordo;Fim respostas
46962;644;1983;GAB/ASS;Concordo;Fim respostas
46962;644;1984;GAB/ASS;Concordo;Fim respostas
46962;644;1985;GAB/ASS;Concordo;Fim respostas
46962;644;1986;GAB/ASS;Concordo;Fim respostas
46962;644;1987;GAB/ASS;Desconheço;Fim respostas
46962;644;1988;GAB/ASS;Concordo;Fim respostas
46962;644;1989;GAB/ASS;Concordo;Fim respostas
46962;644;1990;GAB/ASS;Concordo;Fim respostas
46962;644;1991;GAB/ASS;Discordo;Fim respostas
46962;644;1992;GAB/ASS;Concordo;Fim respostas
46962;645;1994;GAB/ASS;Concordo;Fim respostas
46962;645;1995;GAB/ASS;Discordo;Fim respostas
46962;645;1996;GAB/ASS;Discordo;Fim respostas
46962;645;1997;GAB/ASS;Desconheço;Fim respostas
46962;645;1998;GAB/ASS;Concordo;Fim respostas
46962;645;1999;GAB/ASS;Concordo;Fim respostas
46962;645;2000;GAB/ASS;Desconheço;Fim respostas
46962;645;2001;GAB/ASS;Concordo;Fim respostas
46962;645;2002;GAB/ASS;Desconheço;Fim respostas
46962;646;2004;GAB/ASS;Discordo;Fim respostas
46962;646;2005;GAB/ASS;Discordo;Fim respostas
46962;646;2006;GAB/ASS;Discordo;Fim respostas
46962;646;2007;GAB/ASS;Discordo;Fim respostas
46962;646;2008;GAB/ASS;Concordo;Fim respostas
46962;646;2009;GAB/ASS;Concordo;Fim respostas
46962;646;2010;GAB/ASS;Discordo;Fim respostas
46962;646;2011;GAB/ASS;Concordo;Fim respostas
46962;646;2012;GAB/ASS;Desconheço;Fim respostas
46962;646;2013;GAB/ASS;Desconheço;Fim respostas
46962;647;2015;GAB/ASS;Concordo;Fim respostas
46962;647;2016;GAB/ASS;Discordo;Fim respostas
46962;647;2017;GAB/ASS;Concordo;Fim respostas
46962;647;2018;GAB/ASS;Concordo;Fim respostas
46962;647;2019;GAB/ASS;Discordo;Fim respostas
46962;647;2020;GAB/ASS;Concordo;Fim respostas
46962;647;2021;GAB/ASS;Desconheço;Fim respostas
46962;647;2022;GAB/ASS;Desconheço;Fim respostas
46962;647;2023;GAB/ASS;Desconheço;Fim respostas
46962;647;2024;GAB/ASS;Discordo;Fim respostas
46962;647;2025;GAB/ASS;Desconheço;Fim respostas
46962;647;2026;GAB/ASS;Desconheço;Fim respostas
46962;647;2027;GAB/ASS;Concordo;Fim respostas
46962;647;2028;GAB/ASS;Concordo;Fim respostas
46962;647;2029;GAB/ASS;Desconheço;Fim respostas
46962;648;2031;GAB/ASS;Desconheço;Fim respostas
